Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;2;64QAM;all; ;0.0031430771814217966;0.0032596230698838167;0.003191527524321222;0.003101574841394113;0.0032215719140975896;0.0031651914703247365;0.003231036479444123;0.0031619006600511045;0.0032964434574174616;0.003188711197348884
Percentage of cicuits by modulation;2;8QAM;all; ;0.2735090939622576;0.27362068366365877;0.27322391724709344;0.2734404814495294;0.27302908791198616;0.2734686024827804;0.27320555877243774;0.2732606941361852;0.2729012411503707;0.2736438124977542
Percentage of cicuits by modulation;3;QPSK;all; ;0.4242516964371877;0.42425598041062346;0.42266131994612466;0.42372156580946885;0.4231856195554468;0.42329433091628216;0.4225428496648188;0.42394707313942986;0.42353902073374255;0.4241753918530376
Percentage of cicuits by modulation;3;16QAM;all; ;0.13297172487001632;0.13326426822377097;0.133715892286971;0.13365807112817915;0.13338831812427346;0.1335342310952067;0.13385789638740012;0.13272924435108904;0.13377931151528866;0.13373004514834877
Percentage of cicuits by modulation;3;32QAM;all; ;0.007330632842270766;0.0073436617065360706;0.007386668676003805;0.007327215540293796;0.007352352894113882;0.007403004049345512;0.007551302879752133;0.007331721853758817;0.007393290526970837;0.007451303271341223
Percentage of cicuits by modulation;3;BPSK;all; ;0.15509425435613058;0.15526464494255038;0.15575934106300213;0.15546066039180578;0.1548935679560247;0.15554548450889916;0.1549756071106039;0.15518477658087676;0.1549008099265503;0.15485188679578646
Percentage of cicuits by modulation;3;64QAM;all; ;0.003248121150211481;0.0031962233942362025;0.0031976716805907452;0.0032124303502220545;0.0032414357854510713;0.003215933703738582;0.0032020825326162052;0.00313072882754853;0.003186905401710369;0.0032109156999171945
Percentage of cicuits by modulation;3;8QAM;all; ;0.27710357034418315;0.2766752213222829;0.2772791063473076;0.2766200567800304;0.2779387056846901;0.2770070157265279;0.2778702614248088;0.27767645524729695;0.2772006618957373;0.27658045723156877
Percentage of cicuits by modulation;4;QPSK;all; ;0.42261140733443353;0.4221198940975822;0.42151107087081907;0.4230152918320116;0.4232901523990695;0.42202806428400097;0.42257497706160685;0.4220088951939114;0.42199269093902;0.4230854462410865
Percentage of cicuits by modulation;4;16QAM;all; ;0.13485132305759995;0.13571234237786645;0.13510318760599005;0.13536729041297174;0.1350532234763088;0.135548093067882;0.13522677525172264;0.1351113337039664;0.13593389691008606;0.13529716864172184
Percentage of cicuits by modulation;4;32QAM;all; ;0.007297520472966576;0.0075435696881296045;0.007444454025466356;0.007363666108558944;0.00740672415073636;0.007263132645718397;0.007174769566599301;0.007452600502271725;0.007288664716623914;0.007451825463657827
Percentage of cicuits by modulation;4;BPSK;all; ;0.1510427340593701;0.1502889064940139;0.15097415040288198;0.15153283866691755;0.14996370309853352;0.1510374190453346;0.1507133390504405;0.1508324866284531;0.15104992765325392;0.14998520655128175
Percentage of cicuits by modulation;4;64QAM;all; ;0.0031651751632623955;0.003242033048362024;0.0031928755521063875;0.0032419786496829333;0.0031840648217139325;0.0031650275845526506;0.0031699959820330912;0.0032626095124896957;0.003137425223699018;0.0031443565089377583
Percentage of cicuits by modulation;4;8QAM;all; ;0.2810318399123674;0.2810932542940458;0.28177426154273616;0.27947893432985726;0.28110213205363793;0.2809582633725114;0.28114014308759766;0.2813320744589077;0.2805973945573171;0.2810359965933143
Percentage of cicuits by modulation;5;QPSK;all; ;0.421577620930851;0.42227229465664295;0.4221361354928851;0.42172947003491196;0.4219164262320649;0.42147927812046265;0.4213828280035035;0.4212944956197838;0.4220925700365408;0.4215363884357231
Percentage of cicuits by modulation;5;16QAM;all; ;0.13757706467455347;0.13672739946550588;0.13726857599080877;0.13651601491980966;0.13669681846537743;0.13649374884282944;0.1368989246945058;0.13759426456871482;0.13648355663824605;0.137114096658134
Percentage of cicuits by modulation;5;32QAM;all; ;0.007321601530192763;0.007295978863962349;0.007327919849279257;0.007314945877927501;0.0073482825171553336;0.0072219623663772525;0.007527260279479536;0.007193674443557089;0.007392204628501827;0.007189599022380231
Percentage of cicuits by modulation;5;BPSK;all; ;0.14712003181395666;0.14693835769185304;0.14678233607415306;0.14706634735090546;0.14728122075795383;0.14724569045322108;0.14722682769651704;0.14667292556985484;0.14652740560292327;0.14661859792462922
Percentage of cicuits by modulation;5;64QAM;all; ;0.003136260835409129;0.003097774890962467;0.0032106049763160074;0.0032012785623969147;0.00313620945102932;0.0031523762192923474;0.0032294492637805873;0.003207891095084526;0.003194884287454324;0.003162887487222349
Percentage of cicuits by modulation;5;8QAM;all; ;0.283267420215037;0.2836681944310733;0.28327442761655786;0.2841719432540485;0.28362104257641924;0.2844069439978172;0.2837347100622135;0.2840367487030049;0.2843093788063337;0.2843784304719111


Average of slots by modulation;1;QPSK;all; ;6.906401158350305;6.888842802401851;6.906830759158882;6.896861593474335;6.894314745386917;6.89202748180733;6.880656748099219;6.907722874068717;6.903578165125105;6.900896281279739
Average of slots by modulation;1;16QAM;all; ;1.574751782077393;1.5739669177306963;1.5768098119066318;1.576429991492614;1.5755906916698013;1.5687868637960467;1.570368383912876;1.5856417115036217;1.5739801831693294;1.5771867250771157
